V,K,Avg,WG,Gap,Distance,Similarity
80,5,86.419,42.944,43.476,101.796,0.724
80,5,83.539,71.573,11.966,100.602,0.691
80,5,81.109,76.642,4.467,72.314,0.719
80,5,78.619,74.572,4.047,55.039,0.699
80,5,83.849,62.903,20.946,10.346,0.72
90,5,85.482,61.895,23.587,5.792,0.694
90,5,82.782,79.496,3.287,98.352,0.723
90,5,81.645,70.121,11.524,23.675,0.724
90,5,86.91,85.0,1.91,84.346,0.686
90,5,75.714,71.36,4.354,70.182,0.697
100,5,86.915,60.444,26.472,70.676,0.695
100,5,80.939,56.573,24.366,68.393,0.677
100,5,84.26,75.363,8.897,128.376,0.719
100,5,83.494,79.642,3.852,79.747,0.723
100,5,80.338,79.82,0.518,156.433,0.701
110,5,87.381,60.565,26.817,6.224,0.693
110,5,81.545,73.024,8.521,109.596,0.716
110,5,80.939,56.573,24.366,68.393,0.677
110,5,76.981,70.922,6.059,59.433,0.703
110,5,82.948,78.487,4.461,160.724,0.716
120,5,86.209,64.274,21.935,99.087,0.692
120,5,78.123,76.311,1.813,10.857,0.696
120,5,83.223,45.927,37.296,124.97,0.674
120,5,81.655,76.377,5.278,181.477,0.72
120,5,82.817,78.673,4.144,91.949,0.721
130,5,82.993,80.743,2.249,44.917,0.722
130,5,68.42,52.926,15.494,116.532,0.704
130,5,85.117,49.435,35.681,86.097,0.689
130,5,85.538,85.07,0.468,29.498,0.719
130,5,82.086,75.556,6.53,115.666,0.672
140,5,85.633,46.532,39.1,37.216,0.694
140,5,82.727,45.363,37.364,26.435,0.676
140,5,83.193,81.805,1.388,37.698,0.714
140,5,73.445,69.144,4.301,140.876,0.697
140,5,84.846,82.415,2.431,53.326,0.717
150,5,67.097,50.126,16.971,19.276,0.676
150,5,84.741,36.734,48.007,68.82,0.692
150,5,84.586,72.5,12.086,41.805,0.715
150,5,67.393,52.21,15.183,159.069,0.7
150,5,87.04,84.444,2.596,62.404,0.719
160,5,88.478,77.056,11.422,68.92,0.705
160,5,67.563,49.489,18.074,54.673,0.675
160,5,84.0,40.444,43.556,42.953,0.693
160,5,82.717,73.952,8.766,75.124,0.715
160,5,73.445,69.144,4.301,140.876,0.697
170,5,83.188,36.935,46.253,39.291,0.692
170,5,80.959,70.887,10.072,88.438,0.672
170,5,67.393,52.21,15.183,159.069,0.7
170,5,84.706,64.879,19.827,94.75,0.719
170,5,87.947,73.333,14.614,155.176,0.721
