,Keyword,Score,Acc.,Bias
38,woman,0.547,0.8880597014925373,M
50,women,0.4531,0.803680981595092,S
5,film,0.4531,0.9523809523809523,S
45,politician,0.4219,0.8489795918367347,S
62,hair color,0.4062,0.8903225806451613,S
20,actress,0.4062,0.9332669322709163,S
35,tennis,0.3906,0.8342541436464088,S
25,tennis player,0.375,0.8284023668639053,S
49,native,0.3594,0.9152542372881356,S
65,undated file photo,0.3438,0.7777777777777778,S
42,file photo,0.3281,0.775609756097561,S
58,crowned person,0.3281,0.6666666666666666,S
18,girl,0.2969,0.8513513513513513,M
30,promotional portrait,0.2812,0.8048780487804879,S
29,romantic,0.2656,0.9690265486725663,S
66,hat,0.2656,0.42857142857142855,S
10,love,0.25,0.9107142857142857,S
15,named person,0.25,0.84251968503937,S
13,found,0.2344,0.825,S
9,portrait,0.2344,0.813953488372093,M
60,bob,0.2344,0.875,S
5,hair,0.2344,0.8931116389548693,S
7,model,0.2188,0.9295302013422819,S
63,girl,0.2031,0.9054054054054054,M
67,rock,0.1875,0.9,S
58,teacher,0.1875,0.625,S
48,long,0.1719,0.8539325842696629,M
50,makeup,0.1406,0.84375,S
29,undated,0.1406,0.819078947368421,S
19,arrives,0.1406,0.9025032938076416,M
32,died,0.125,0.8365384615384616,S
22,promotional,0.125,0.8048780487804879,S
59,hairstyle,0.125,0.8719211822660099,S
55,condition,0.125,0.9081632653061225,M
23,style,0.1094,0.9354838709677419,S
11,arrives,0.09375,0.9456066945606695,M
44,category,0.09375,0.7368421052631579,S
14,comedy,0.09375,0.9084249084249084,S
49,win,0.09375,0.7764705882352941,S
47,rare,0.0781,0.8484848484848485,S
28,attends,0.0625,0.9386160714285714,S
36,file,0.0625,0.775609756097561,S
11,face of person,0.04688,0.9059474412171508,S
38,graduate,0.04688,0.5555555555555556,S
68,student,0.04688,0.6666666666666666,S
31,long,0.04688,0.927536231884058,M
12,woman,0.04688,0.8243243243243243,M
51,undated file,0.04688,0.7777777777777778,S
57,pictured,0.04688,0.8551401869158879,S
37,named,0.04688,0.8483870967741935,S
