,Keyword,Score,Acc.,Bias
9,bamboo,3.156,0.0,S
4,beach,2.64,0.7432432432432432,S
9,seagull,2.547,0.5,S
6,forest,2.234,0.1111111111111111,S
7,rainforest,2.031,0.2,S
5,tree,1.578,0.5909090909090909,S
8,garden,1.516,0.0,S
5,water,1.328,0.6410256410256411,S
8,biological species flying,0.1719,0.0,S
6,person,-0.1406,0.8,
0,biological species,-0.1406,0.753731343283582,
2,species,-0.1875,0.753731343283582,
3,bird,-0.2344,0.7101449275362319,
7,flies,-0.2812,0.5652173913043478,
0,biological species,-0.3125,0.9392712550607287,
1,biological,-0.4062,0.9393939393939394,
1,biological,-0.4219,0.7555555555555555,
4,person,-0.6094,0.65,
2,species,-0.703,0.9393939393939394,
3,bird,-1.547,0.9302325581395349,
